movie_id,title,genre,original_language,overview,popularity,release_date,vote_average,vote_count 
724089,Gabriel's Inferno: Part II,Romance,en,"Professor Gabriel Emerson finally learns the truth about Julia Mitchell's identity, but his realization comes a moment too late. Julia is done waiting for the well-respected Dante specialist to remember her and wants nothing more to do with him. Can Gabriel win back her heart before she finds love in another's arms?",14.924,2020-07-31,8.5,1420 
155,The Dark Knight,"Drama,Action,Crime,Thriller",en,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",82.23,2008-07-14,8.5,27925 
429,"The Good, the Bad and the Ugly",Western,it,"While the Civil War rages between the Union and the Confederacy, three men – a quiet loner, a ruthless hit man and a Mexican bandit – comb the American Southwest in search of a strongbox containing $200,000 in stolen gold.",47.73,1966-12-23,8.5,6747 
680,Pulp Fiction,"Thriller,Crime",en,"A burger-loving hit man, his philosophical partner, a drug-addled gangster's moll and a washed-up boxer converge in this sprawling, comedic crime caper. Their adventures unfurl in three stories that ingeniously trip back and forth in time.",67.224,1994-09-10,8.5,23481 
122,The Lord of the Rings: The Return of the King,"Adventure,Fantasy,Action",en,"Aragorn is revealed as the heir to the ancient kings as he, Gandalf and the other members of the broken fellowship struggle to save Gondor from Sauron's forces. Meanwhile, Frodo and Sam take the ring closer to the heart of Mordor, the dark lord's realm.",134.707,2003-12-01,8.5,19844 
761053,Gabriel's Inferno: Part III,"Romance,Comedy",en,The final part of the film adaption of the erotic romance novel Gabriel's Inferno written by an anonymous Canadian author under the pen name Sylvain Reynard.,47.608,2020-11-19,8.5,977 
13,Forrest Gump,"Comedy,Drama,Romance",en,"A man with a low IQ has accomplished great things in his life and been present during significant historic events—in each case, far exceeding what anyone imagined he could do. But despite all he has achieved, his one true love eludes him.",65.175,1994-06-23,8.5,23009 
11216,Cinema Paradiso,"Drama,Romance",it,"A filmmaker recalls his childhood, when he fell in love with the movies at his village's theater and formed a deep friendship with the theater's projectionist.",18.677,1988-11-17,8.5,3394 
346,Seven Samurai,"Action,Drama",ja,"A samurai answers a village's request for protection after he falls on hard times. The town needs protection from bandits, so the samurai gathers six others to help him teach the people how to defend themselves, and the villagers provide the soldiers with food.",27.849,1954-04-26,8.5,2725 
769,GoodFellas,"Drama,Crime",en,"The true story of Henry Hill, a half-Irish, half-Sicilian Brooklyn kid who is adopted by neighbourhood gangsters at an early age and climbs the ranks of a Mafia family under the guidance of Jimmy Conway.",50.387,1990-09-12,8.5,10294 
533514,Violet Evergarden: The Movie,"Animation,Fantasy,Romance,Drama",ja,"As the world moves on from the war and technological advances bring changes to her life, Violet still hopes to see her lost commanding officer again.",23.933,2020-09-18,8.5,251 
637,Life Is Beautiful,"Comedy,Drama",it,A touching story of an Italian book seller of Jewish ancestry who lives in his own little fairy tale. His creative and happy life would come to an abrupt halt when his entire family is deported to a concentration camp during World War II. While locked up he tries to convince his son that the whole thing is just a game.,55.527,1997-12-20,8.5,11179 
311,Once Upon a Time in America,"Drama,Crime",en,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan over thirty years later, where he once again must confront the ghosts and regrets of his old life.",25.789,1984-05-23,8.5,4241 
14537,Harakiri,"Action,Drama,History",ja,"Down-on-his-luck veteran Tsugumo Hanshirō enters the courtyard of the prosperous House of Iyi. Unemployed, and with no family, he hopes to find a place to commit seppuku—and a worthy second to deliver the coup de grâce in his suicide ritual. The senior counselor for the Iyi clan questions the ronin’s resolve and integrity, suspecting Hanshirō of seeking charity rather than an honorable end. What follows is a pair of interlocking stories which lay bare the difference between honor and respect, and promises to examine the legendary foundations of the Samurai code.",14.472,1962-09-15,8.4,651 
539,Psycho,"Horror,Drama,Thriller",en,"When larcenous real estate clerk Marion Crane goes on the lam with a wad of cash and hopes of starting a new life, she ends up at the notorious Bates Motel, where manager Norman Bates cares for his housebound mother.",41.575,1960-06-22,8.4,8288 
652837,"Josee, the Tiger and the Fish","Animation,Drama,Romance",ja,"With dreams of diving abroad, Tsuneo gets a job assisting Josee, an artist whose imagination takes her far beyond her wheelchair. But when the tide turns against them, they push each other to places they never thought possible, and inspire a love fit for a storybook.",178.195,2020-12-25,8.4,246 
40096,A Dog's Will,"Comedy,Drama,Fantasy",pt,"The lively Jack the Cricket and the sly Chicó are poor guys living in the hinterland who cheat a bunch of people in a small in Northeastern Brazil. When they die, they have to be judged by Christ, the Devil and the Virgin Mary before they are admitted to paradise.",9.741,2000-09-15,8.4,902 
12477,Grave of the Fireflies,"Animation,Drama,War",ja,"In the final months of World War II, 14-year-old Seita and his sister Setsuko are orphaned when their mother is killed during an air raid in Kobe, Japan. After a falling out with their aunt, they move into an abandoned bomb shelter. With no surviving relatives and their emergency rations depleted, Seita and Setsuko struggle to survive.",0.6,1988-04-16,8.4,4217 
510,One Flew Over the Cuckoo's Nest,Drama,en,"A petty criminal fakes insanity to serve his sentence in a mental ward rather than prison. He soon finds himself as a leader to the other patients—and an enemy to the cruel, domineering nurse who runs the ward.",27.541,1975-05-18,8.4,8703 
550,Fight Club,Drama,en,"A ticking-time-bomb insomniac and a slippery soap salesman channel primal male aggression into a shocking new form of therapy. Their concept catches on, with underground ""fight clubs"" forming in every town, until an eccentric gets in the way and ignites an out-of-control spiral toward oblivion.",58.676,1999-10-15,8.4,24441 
283566,Evangelion: 3.0+1.0 Thrice Upon a Time,"Animation,Action,Science Fiction,Drama",ja,"In the aftermath of the Fourth Impact, stranded without their Evangelions, Shinji, Asuka, and Rei find refuge in one of the rare pockets of humanity that still exist on the ruined planet Earth. There, each of them live a life far different from their days as an Evangelion pilot. However, the danger to the world is far from over. A new impact is looming on the horizon—one that will prove to be the true end of Evangelion.",108.156,2021-03-08,8.4,528 
324857,Spider-Man: Into the Spider-Verse,"Action,Adventure,Animation,Science Fiction",en,"Miles Morales is juggling his life between being a high school student and being a spider-man. When Wilson ""Kingpin"" Fisk uses a super collider, others from across the Spider-Verse are transported to this dimension.",118.785,2018-12-06,8.4,11529 
598,City of God,"Drama,Crime",pt,"Buscapé was raised in a very violent environment. Despite the feeling that all odds were against him, he finds out that life can be seen with other eyes...",35.565,2002-02-05,8.4,5886 
255709,Hope,Drama,ko,"After 8-year-old So-won narrowly survives a brutal sexual assault, her family labors to help her heal while coping with their own rage and grief.",17.189,2013-10-02,8.4,398 
378064,A Silent Voice: The Movie,"Animation,Drama,Romance",ja,"Shouya Ishida starts bullying the new girl in class, Shouko Nishimiya, because she is deaf. But as the teasing continues, the rest of the class starts to turn on Shouya for his lack of compassion. When they leave elementary school, Shouko and Shouya do not speak to each other again... until an older, wiser Shouya, tormented by his past behaviour, decides he must see Shouko once more. He wants to atone for his sins, but is it already too late...?",170.606,2016-09-17,8.4,3029 
92321,Hotarubi no Mori e,"Romance,Animation,Fantasy",ja,"One hot summer day a little girl gets lost in an enchanted forest of the mountain god where spirits reside. A young boy appears before her, but she cannot touch him for fear of making him disappear. And so a wondrous adventure awaits...",0.6,2011-09-17,8.4,810 
4935,Howl's Moving Castle,"Fantasy,Animation,Adventure",ja,"When Sophie, a shy young woman, is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle.",75.091,2004-11-19,8.4,7452 
18491,Neon Genesis Evangelion: The End of Evangelion,"Drama,Animation,Science Fiction,Action",ja,"The second of two theatrically released follow-ups to the Neon Genesis Evangelion series. Comprising of two alternate episodes which were first intended to take the place of episodes 25 and 26, this finale answers many of the questions surrounding the series, while also opening up some new possibilities.",32.759,1997-07-19,8.4,1102 
1891,The Empire Strikes Back,"Adventure,Action,Science Fiction",en,"The epic saga continues as Luke Skywalker, in hopes of defeating the evil Galactic Empire, learns the ways of the Jedi from aging master Yoda. But Darth Vader is more determined than ever to capture Luke. Meanwhile, rebel leader Princess Leia, cocky Han Solo, Chewbacca, and droids C-3PO and R2-D2 are thrown into various stages of capture, betrayal and despair.",28.323,1980-05-20,8.4,14384 
599,Sunset Boulevard,Drama,en,A hack screenwriter writes a screenplay for a former silent film star who has faded into Hollywood obscurity.,17.814,1950-08-10,8.4,1982 
441130,Wolfwalkers,"Animation,Family,Adventure,Fantasy",en,"In a time of superstition and magic, when wolves are seen as demonic and nature an evil to be tamed, a young apprentice hunter comes to Ireland with her father to wipe out the last pack. But when she saves a wild native girl, their friendship leads her to discover the world of the Wolfwalkers and transform her into the very thing her father is tasked to destroy.",17.052,2020-10-26,8.4,800 
120,The Lord of the Rings: The Fellowship of the Ring,"Adventure,Fantasy,Action",en,"Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom, the only place where it can be destroyed.",168.448,2001-12-18,8.4,21207 
3782,Ikiru,Drama,ja,"Kanji Watanabe is a middle-aged man who has worked in the same monotonous bureaucratic position for decades. Learning he has cancer, he starts to look for the meaning of his life.",9.854,1952-10-09,8.4,809 
704264,Primal: Tales of Savagery,"Action,Adventure,Animation",en,"Genndy Tartakovsky's Primal: Tales of Savagery features a caveman and a dinosaur on the brink of extinction. Bonded by tragedy, this unlikely friendship becomes the only hope of survival.",62.485,2019-11-21,8.4,227 
423,The Pianist,"Drama,War",en,"The true story of pianist Władysław Szpilman's experiences in Warsaw during the Nazi occupation. When the Jews of the city find themselves forced into a ghetto, Szpilman finds work playing in a café; and when his family is deported in 1942, he stays behind, works for a while as a laborer, and eventually goes into hiding in the ruins of the war-torn city.",40.571,2002-09-17,8.4,7374 
157336,Interstellar,"Adventure,Drama,Science Fiction",en,The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,191.22,2014-11-05,8.4,28920 
244786,Whiplash,"Drama,Music",en,"Under the direction of a ruthless instructor, a talented young drummer begins to pursue perfection at any cost, even his humanity.",57.858,2014-10-10,8.4,12371 
121,The Lord of the Rings: The Two Towers,"Adventure,Fantasy,Action",en,"Frodo and Sam are trekking to Mordor to destroy the One Ring of Power while Gimli, Legolas and Aragorn search for the orc-captured Merry and Pippin. All along, nefarious wizard Saruman awaits the Fellowship members at the Orthanc Tower in Isengard.",162.716,2002-12-18,8.4,18370 
73,American History X,Drama,en,"Derek Vineyard is paroled after serving 3 years in prison for killing two African-American men. Through his brother, Danny Vineyard's narration, we learn that before going to prison, Derek was a skinhead and the leader of a violent white supremacist gang that committed acts of racial crime throughout L.A. and his actions greatly influenced Danny. Reformed and fresh out of prison, Derek severs contact with the gang and becomes determined to keep Danny from going down the same violent path as he did.",32.756,1998-07-01,8.4,9700 
567,Rear Window,"Thriller,Mystery",en,A wheelchair-bound photographer spies on his neighbors from his apartment window and becomes convinced one of them has committed murder.,19.511,1954-08-01,8.4,5230 
27205,Inception,"Action,Science Fiction,Adventure",en,"Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious.",111.757,2010-07-15,8.4,31917 
635302,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,"Animation,Action,Adventure,Fantasy",ja,"Tanjirō Kamado, joined with Inosuke Hashibira, a boy raised by boars who wears a boar's head, and Zenitsu Agatsuma, a scared boy who reveals his true power when he sleeps, boards the Infinity Train on a new mission with the Fire Hashira, Kyōjurō Rengoku, to defeat a demon who has been tormenting the people and killing the demon slayers who oppose it!",802.132,2020-10-16,8.4,2564 
632632,Given,"Animation,Drama,Music,Romance",ja,"The relationship between a band's bassist, their drummer, and the drummer’s roommate and ex-boyfriend, who is a professional violinist.",92.227,2020-08-22,8.4,324 
901,City Ligh
